fnr,fnavn,sick_pct,year_q,pop,agegroup0_share,agegroup10_share,agegroup20_share,agegroup30_share,agegroup40_share,agegroup50_share,agegroup60_share,agegroup70_share,agegroup80_share,agegroup90_share,age_avg,uniwork_share,femalework_share,healthsoc_share,pub_defense_socins_share,post,quarters
8,Telemark,6.2,2010,168231,0.11059793,0.13184847,0.11415851,0.12453115,0.14277987,0.1374182,0.11675613,0.067353815,0.046257824,0.008298114,40.488312,0.26358581,0.52165854,0.22238916,0.050853617,0,9
8,Telemark,6.3,2011,169185,0.10999202,0.13053167,0.11605047,0.1213701,0.14405532,0.13628277,0.1204835,0.066796705,0.045376364,0.009061087,40.595013,0.26742092,0.52293581,0.22441407,0.051322963,0,13
8,Telemark,6.1,2012,170023,0.10935579,0.1287414,0.11826047,0.11824282,0.14505096,0.13630509,0.12320098,0.0670674,0.04411168,0.009663398,40.725578,0.2824384,0.52595317,0.22448806,0.051604092,0,17
8,Telemark,6.1,2013,170902,0.10965349,0.12631215,0.12032627,0.11536436,0.14635873,0.1352237,0.12522382,0.069179997,0.042421974,0.009935519,40.820717,0.28850389,0.52623475,0.2237021,0.052806351,0,21
8,Telemark,5.8,2014,171469,0.10868437,0.12531711,0.12153801,0.11331494,0.14607888,0.13485819,0.12682758,0.072013021,0.041033655,0.010334229,40.980988,,,,,1,25
8,Telemark,6.2,2015,171953,0.10831448,0.12371986,0.12214965,0.11153048,0.14525481,0.13531023,0.12693003,0.07627666,0.039784126,0.010729676,41.150845,,,,,1,29
9,Aust-Agder,6.1,2008,106130,0.12402713,0.13930085,0.11706398,0.13496655,0.13881089,0.13617262,0.10355224,0.059672099,0.039168943,0.007264676,38.696079,0.26337478,0.53013468,0.19471632,0.054179851,0,1
9,Aust-Agder,6.9,2009,107359,0.12317552,0.13929899,0.11651561,0.13395244,0.13887984,0.1350795,0.10758297,0.059864566,0.037966076,0.007684498,38.805447,0.27819675,0.52954751,0.19910325,0.058944918,0,5
9,Aust-Agder,6.2,2010,108499,0.12242509,0.13915336,0.11742043,0.13129154,0.13942985,0.13427773,0.11060932,0.060645722,0.037235368,0.00751159,38.888046,0.28078306,0.52936488,0.20383003,0.057673056,0,9
9,Aust-Agder,6.3,2011,110048,0.12191044,0.13856681,0.11975683,0.12914364,0.13991168,0.13259669,0.11272354,0.061282348,0.036029734,0.008078293,38.930229,0.28600562,0.52887249,0.20751806,0.058626834,0,13
